DAY_KEY,DAY_DATE,MONTH_KEY,CURRENT_MONTH,MONTH_NUMBER,QUARTER_KEY,CURRENT_QUARTER,CURRENT_YEAR,CPO_YEAR,DAY_OF_WEEK,DAY_OF_MONTH,DAYS_IN_MONTH,DAY_OF_YEAR,WEEK_OF_MONTH,WEEK_OF_QUARTER,WEEK_OF_YEAR,MONTH_EN,WEEKDAY_EN,MONTH_DE,WEEKDAY_DE,MONTH_FR,WEEKDAY_FR,MONTH_JA,WEEKDAY_JA,MONTH_CS,WEEKDAY_CS,MONTH_DA,WEEKDAY_DA,MONTH_EL,WEEKDAY_EL,MONTH_ES,WEEKDAY_ES,MONTH_FI,WEEKDAY_FI,MONTH_HU,WEEKDAY_HU,MONTH_ID,WEEKDAY_ID,MONTH_IT,WEEKDAY_IT,MONTH_KO,WEEKDAY_KO,MONTH_MS,WEEKDAY_MS,MONTH_NL,WEEKDAY_NL,MONTH_NO,WEEKDAY_NO,MONTH_PL,WEEKDAY_PL,MONTH_PT,WEEKDAY_PT,MONTH_RU,WEEKDAY_RU,MONTH_SC,WEEKDAY_SC,MONTH_SV,WEEKDAY_SV,MONTH_TC,WEEKDAY_TC,MONTH_TH,WEEKDAY_TH
20121018,2012-10-18 00:00:00.0,201210,10,34,20124,4,2012,2015,5,18,31,292,3,3,42,October,Thursday,Oktober,Donnerstag,Octobre,Jeudi,10 月,木曜日,Říjen,Čtvrtek,Oktober,Torsdag,Οκτώβριος,Πέμπτη,Octubre,Jueves,Lokakuu,torstai,Október,Csütörtök,Oktober,Kamis,Ottobre,Giovedì,10월,목요일,Oktober,Khamis,oktober,donderdag,Oktober,Torsdag,Październik,czwartek,Outubro,Quinta-feira,Октябрь,Четверг,十月,星期四,Oktober,Torsdag,十月,星期四,ตุลาคม,พฤหัสบดี
20121019,2012-10-19 00:00:00.0,201210,10,34,20124,4,2012,2015,6,19,31,293,3,3,42,October,Friday,Oktober,Freitag,Octobre,Vendredi,10 月,金曜日,Říjen,Pátek,Oktober,Fredag,Οκτώβριος,Παρασκευή,Octubre,Viernes,Lokakuu,perjantai,Október,Péntek,Oktober,Jumat,Ottobre,Venerdì,10월,금요일,Oktober,Jumaat,oktober,vrijdag,Oktober,Fredag,Październik,piątek,Outubro,Sexta-feira,Октябрь,Пятница,十月,星期五,Oktober,Fredag,十月,星期五,ตุลาคม,ศุกร์
20121020,2012-10-20 00:00:00.0,201210,10,34,20124,4,2012,2015,7,20,31,294,3,3,42,October,Saturday,Oktober,Samstag,Octobre,Samedi,10 月,土曜日,Říjen,Sobota,Oktober,Lørdag,Οκτώβριος,Σάββατο,Octubre,Sábado,Lokakuu,lauantai,Október,Szombat,Oktober,Sabtu,Ottobre,Sabato,10월,토요일,Oktober,Sabtu,oktober,zaterdag,Oktober,Lørdag,Październik,sobota,Outubro,Sábado,Октябрь,Суббота,十月,星期六,Oktober,Lördag,十月,星期六,ตุลาคม,เสาร์
20121021,2012-10-21 00:00:00.0,201210,10,34,20124,4,2012,2015,1,21,31,295,4,4,43,October,Sunday,Oktober,Sonntag,Octobre,Dimanche,10 月,日曜日,Říjen,Neděle,Oktober,Søndag,Οκτώβριος,Κυριακή,Octubre,Domingo,Lokakuu,sunnuntai,Október,Vasárnap,Oktober,Minggu,Ottobre,Domenica,10월,일요일,Oktober,Ahad,oktober,zondag,Oktober,Søndag,Październik,niedziela,Outubro,Domingo,Октябрь,Воскресенье,十月,星期日,Oktober,Söndag,十月,星期日,ตุลาคม,อาทิตย์
20121022,2012-10-22 00:00:00.0,201210,10,34,20124,4,2012,2015,2,22,31,296,4,4,43,October,Monday,Oktober,Montag,Octobre,Lundi,10 月,月曜日,Říjen,Pondělí,Oktober,Mandag,Οκτώβριος,Δευτέρα,Octubre,Lunes,Lokakuu,maanantai,Október,Hétfő,Oktober,Senin,Ottobre,Lunedì,10월,월요일,Oktober,Isnin,oktober,maandag,Oktober,Mandag,Październik,poniedziałek,Outubro,Segunda-feira,Октябрь,Понедельник,十月,星期一,Oktober,Måndag,十月,星期一,ตุลาคม,จันทร์
20121023,2012-10-23 00:00:00.0,201210,10,34,20124,4,2012,2015,3,23,31,297,4,4,43,October,Tuesday,Oktober,Dienstag,Octobre,Mardi,10 月,火曜日,Říjen,Úterý,Oktober,Tirsdag,Οκτώβριος,Τρίτη,Octubre,Martes,Lokakuu,tiistai,Október,Kedd,Oktober,Selasa,Ottobre,Martedì,10월,화요일,Oktober,Selasa,oktober,dinsdag,Oktober,Tirsdag,Październik,wtorek,Outubro,Terça-feira,Октябрь,Вторник,十月,星期二,Oktober,Tisdag,十月,星期二,ตุลาคม,อังคาร
20121024,2012-10-24 00:00:00.0,201210,10,34,20124,4,2012,2015,4,24,31,298,4,4,43,October,Wednesday,Oktober,Mittwoch,Octobre,Mercredi,10 月,水曜日,Říjen,Středa,Oktober,Onsdag,Οκτώβριος,Τετάρτη,Octubre,Miércoles,Lokakuu,keskiviikko,Október,Szerda,Oktober,Rabu,Ottobre,Mercoledì,10월,수요일,Oktober,Rabu,oktober,woensdag,Oktober,Onsdag,Październik,środa,Outubro,Quarta-feira,Октябрь,Среда,十月,星期三,Oktober,Onsdag,十月,星期三,ตุลาคม,พุธ
20121025,2012-10-25 00:00:00.0,201210,10,34,20124,4,2012,2015,5,25,31,299,4,4,43,October,Thursday,Oktober,Donnerstag,Octobre,Jeudi,10 月,木曜日,Říjen,Čtvrtek,Oktober,Torsdag,Οκτώβριος,Πέμπτη,Octubre,Jueves,Lokakuu,torstai,Október,Csütörtök,Oktober,Kamis,Ottobre,Giovedì,10월,목요일,Oktober,Khamis,oktober,donderdag,Oktober,Torsdag,Październik,czwartek,Outubro,Quinta-feira,Октябрь,Четверг,十月,星期四,Oktober,Torsdag,十月,星期四,ตุลาคม,พฤหัสบดี
20121026,2012-10-26 00:00:00.0,201210,10,34,20124,4,2012,2015,6,26,31,300,4,4,43,October,Friday,Oktober,Freitag,Octobre,Vendredi,10 月,金曜日,Říjen,Pátek,Oktober,Fredag,Οκτώβριος,Παρασκευή,Octubre,Viernes,Lokakuu,perjantai,Október,Péntek,Oktober,Jumat,Ottobre,Venerdì,10월,금요일,Oktober,Jumaat,oktober,vrijdag,Oktober,Fredag,Październik,piątek,Outubro,Sexta-feira,Октябрь,Пятница,十月,星期五,Oktober,Fredag,十月,星期五,ตุลาคม,ศุกร์
20121027,2012-10-27 00:00:00.0,201210,10,34,20124,4,2012,2015,7,27,31,301,4,4,43,October,Saturday,Oktober,Samstag,Octobre,Samedi,10 月,土曜日,Říjen,Sobota,Oktober,Lørdag,Οκτώβριος,Σάββατο,Octubre,Sábado,Lokakuu,lauantai,Október,Szombat,Oktober,Sabtu,Ottobre,Sabato,10월,토요일,Oktober,Sabtu,oktober,zaterdag,Oktober,Lørdag,Październik,sobota,Outubro,Sábado,Октябрь,Суббота,十月,星期六,Oktober,Lördag,十月,星期六,ตุลาคม,เสาร์
20121028,2012-10-28 00:00:00.0,201210,10,34,20124,4,2012,2015,1,28,31,302,5,5,44,October,Sunday,Oktober,Sonntag,Octobre,Dimanche,10 月,日曜日,Říjen,Neděle,Oktober,Søndag,Οκτώβριος,Κυριακή,Octubre,Domingo,Lokakuu,sunnuntai,Október,Vasárnap,Oktober,Minggu,Ottobre,Domenica,10월,일요일,Oktober,Ahad,oktober,zondag,Oktober,Søndag,Październik,niedziela,Outubro,Domingo,Октябрь,Воскресенье,十月,星期日,Oktober,Söndag,十月,星期日,ตุลาคม,อาทิตย์
20121029,2012-10-29 00:00:00.0,201210,10,34,20124,4,2012,2015,2,29,31,303,5,5,44,October,Monday,Oktober,Montag,Octobre,Lundi,10 月,月曜日,Říjen,Pondělí,Oktober,Mandag,Οκτώβριος,Δευτέρα,Octubre,Lunes,Lokakuu,maanantai,Október,Hétfő,Oktober,Senin,Ottobre,Lunedì,10월,월요일,Oktober,Isnin,oktober,maandag,Oktober,Mandag,Październik,poniedziałek,Outubro,Segunda-feira,Октябрь,Понедельник,十月,星期一,Oktober,Måndag,十月,星期一,ตุลาคม,จันทร์
20121030,2012-10-30 00:00:00.0,201210,10,34,20124,4,2012,2015,3,30,31,304,5,5,44,October,Tuesday,Oktober,Dienstag,Octobre,Mardi,10 月,火曜日,Říjen,Úterý,Oktober,Tirsdag,Οκτώβριος,Τρίτη,Octubre,Martes,Lokakuu,tiistai,Október,Kedd,Oktober,Selasa,Ottobre,Martedì,10월,화요일,Oktober,Selasa,oktober,dinsdag,Oktober,Tirsdag,Październik,wtorek,Outubro,Terça-feira,Октябрь,Вторник,十月,星期二,Oktober,Tisdag,十月,星期二,ตุลาคม,อังคาร
20121031,2012-10-31 00:00:00.0,201210,10,34,20124,4,2012,2015,4,31,31,305,5,5,44,October,Wednesday,Oktober,Mittwoch,Octobre,Mercredi,10 月,水曜日,Říjen,Středa,Oktober,Onsdag,Οκτώβριος,Τετάρτη,Octubre,Miércoles,Lokakuu,keskiviikko,Október,Szerda,Oktober,Rabu,Ottobre,Mercoledì,10월,수요일,Oktober,Rabu,oktober,woensdag,Oktober,Onsdag,Październik,środa,Outubro,Quarta-feira,Октябрь,Среда,十月,星期三,Oktober,Onsdag,十月,星期三,ตุลาคม,พุธ
20121101,2012-11-01 00:00:00.0,201211,11,35,20124,4,2012,2015,5,1,30,306,1,5,44,November,Thursday,November,Donnerstag,Novembre,Jeudi,11 月,木曜日,Listopad,Čtvrtek,November,Torsdag,Νοέμβριος,Πέμπτη,Noviembre,Jueves,Marraskuu,torstai,November,Csütörtök,November,Kamis,Novembre,Giovedì,11월,목요일,November,Khamis,november,donderdag,November,Torsdag,Listopad,czwartek,Novembro,Quinta-feira,Ноябрь,Четверг,十一月,星期四,November,Torsdag,十一月,星期四,พฤศจิกายน,พฤหัสบดี
20121102,2012-11-02 00:00:00.0,201211,11,35,20124,4,2012,2015,6,2,30,307,1,5,44,November,Friday,November,Freitag,Novembre,Vendredi,11 月,金曜日,Listopad,Pátek,November,Fredag,Νοέμβριος,Παρασκευή,Noviembre,Viernes,Marraskuu,perjantai,November,Péntek,November,Jumat,Novembre,Venerdì,11월,금요일,November,Jumaat,november,vrijdag,November,Fredag,Listopad,piątek,Novembro,Sexta-feira,Ноябрь,Пятница,十一月,星期五,November,Fredag,十一月,星期五,พฤศจิกายน,ศุกร์
20121103,2012-11-03 00:00:00.0,201211,11,35,20124,4,2012,2015,7,3,30,308,1,5,44,November,Saturday,November,Samstag,Novembre,Samedi,11 月,土曜日,Listopad,Sobota,November,Lørdag,Νοέμβριος,Σάββατο,Noviembre,Sábado,Marraskuu,lauantai,November,Szombat,November,Sabtu,Novembre,Sabato,11월,토요일,November,Sabtu,november,zaterdag,November,Lørdag,Listopad,sobota,Novembro,Sábado,Ноябрь,Суббота,十一月,星期六,November,Lördag,十一月,星期六,พฤศจิกายน,เสาร์
20121104,2012-11-04 00:00:00.0,201211,11,35,20124,4,2012,2015,1,4,30,309,2,6,45,November,Sunday,November,Sonntag,Novembre,Dimanche,11 月,日曜日,Listopad,Neděle,November,Søndag,Νοέμβριος,Κυριακή,Noviembre,Domingo,Marraskuu,sunnuntai,November,Vasárnap,November,Minggu,Novembre,Domenica,11월,일요일,November,Ahad,november,zondag,November,Søndag,Listopad,niedziela,Novembro,Domingo,Ноябрь,Воскресенье,十一月,星期日,November,Söndag,十一月,星期日,พฤศจิกายน,อาทิตย์
20121105,2012-11-05 00:00:00.0,201211,11,35,20124,4,2012,2015,2,5,30,310,2,6,45,November,Monday,November,Montag,Novembre,Lundi,11 月,月曜日,Listopad,Pondělí,November,Mandag,Νοέμβριος,Δευτέρα,Noviembre,Lunes,Marraskuu,maanantai,November,Hétfő,November,Senin,Novembre,Lunedì,11월,월요일,November,Isnin,november,maandag,November,Mandag,Listopad,poniedziałek,Novembro,Segunda-feira,Ноябрь,Понедельник,十一月,星期一,November,Måndag,十一月,星期一,พฤศจิกายน,จันทร์
